predicted_normalized,actual_normalized,predictions_original,targets_original,difference,square_error
0.04173673316836357,-0.007601103279739618,21.385792490468344,21.094768974875326,-0.2910235155930181,0.08469468662811964
-0.007601103279739618,-0.07338488101959229,21.094768974875326,20.70673764547199,-0.3880313294033364,0.15056831259852055
-0.07338488101959229,-0.07338488101959229,20.70673764547199,20.70673764547199,0.0,0.0
-0.07338488101959229,-0.04049299284815788,20.70673764547199,20.90075330605354,0.1940156605815524,0.037642076550896145
-0.04049299284815788,0.02529078722000122,20.90075330605354,21.288784649190593,0.388031343137051,0.15056832325674382
0.02529078722000122,-0.07338488101959229,21.288784649190593,20.70673764547199,-0.5820470037186034,0.33877871453780395
-0.07338488101959229,0.35420969128608704,20.70673764547199,23.228941386849808,2.522203741377819,6.361511713020268
0.35420969128608704,0.20619618892669678,23.228941386849808,22.355870881271898,-0.8730705055779104,0.7622521077100681
0.20619618892669678,0.4035475254058838,22.355870881271898,23.519964888709108,1.1640940074372104,1.355114858151224
0.4035475254058838,-0.08983083069324493,23.519964888709108,20.609729782220292,-2.910235106488816,8.469468375039972
-0.08983083069324493,0.07462862133979797,20.609729782220292,21.579808151049896,0.9700783688296042,0.9410520416711056
0.07462862133979797,0.5844529271125793,21.579808151049896,24.587051120790413,3.007242969740517,9.043510279053764
0.5844529271125793,0.7160204648971558,24.587051120790413,25.36311367522083,0.7760625544304176,0.6022730883890649
0.7160204648971558,0.5351150631904602,25.36311367522083,24.296027443139522,-1.0670862320813086,1.1386730266974845
0.5351150631904602,0.5351150631904602,24.296027443139522,24.296027443139522,0.0,0.0
0.5351150631904602,0.5022231936454773,24.296027443139522,24.102011892427715,-0.1940155507118071,0.03764203391800579
0.5022231936454773,0.5515609979629517,24.102011892427715,24.393035218495427,0.2910233260677124,0.08469457631551407
0.5515609979629517,0.4364394247531891,24.393035218495427,23.713980615212506,-0.6790546032829212,0.46111515423972554
0.4364394247531891,0.4035475254058838,23.713980615212506,23.519964888709108,-0.19401572650339816,0.03764210213064139
0.4035475254058838,0.48577725887298584,23.519964888709108,24.00500411707181,0.48503922836270164,0.23526305305068504
0.48577725887298584,0.6008988618850708,24.00500411707181,24.68405889614632,0.6790547790745087,0.46111539298392984
0.6008988618850708,0.8804799318313599,24.68405889614632,26.333192131946227,1.6491332357999084,2.7196404294198766
0.8804799318313599,0.7324663996696472,26.333192131946227,25.460121450576732,-0.8730706813694944,0.7622524146669932
0.7324663996696472,0.8311420679092407,25.460121450576732,26.04216845429534,0.582047003718607,0.33877871453780806
0.8311420679092407,1.044939398765564,26.04216845429534,27.30327058867163,1.2611021343762907,1.590378593328436
1.044939398765564,0.9791556000709534,27.30327058867163,26.915239135664834,-0.3880314530067963,0.15056840852256556
0.9791556000709534,1.1107231378555298,26.915239135664834,27.691301690095248,0.776062554430414,0.6022730883890594
1.1107231378555298,1.094277262687683,27.691301690095248,27.59429426632252,-0.09700742377272675,0.009410440267021392
1.094277262687683,0.8311420679092407,27.59429426632252,26.04216845429534,-1.5521258120271817,2.4090945363610383
0.8311420679092407,0.8311420679092407,26.04216845429534,26.04216845429534,0.0,0.0
0.8311420679092407,1.044939398765564,26.04216845429534,27.30327058867163,1.2611021343762907,1.590378593328436
1.044939398765564,1.094277262687683,27.30327058867163,27.59429426632252,0.291023677650891,0.0846947809534497
1.094277262687683,1.209398865699768,27.59429426632252,28.27334904539703,0.6790547790745087,0.46111539298392984
1.209398865699768,1.2587366104125977,28.27334904539703,28.564372019881567,0.2910229744845374,0.0846943716778277
1.2587366104125977,1.0613852739334106,28.564372019881567,27.400278012444357,-1.1640940074372104,1.355114858151224
1.0613852739334106,1.160061001777649,27.400278012444357,27.98232536774614,0.582047355301782,0.3387791238137988
1.160061001777649,1.324520468711853,27.98232536774614,28.95240382447154,0.9700784567253997,0.9410522122027332
1.324520468711853,1.3903042078018188,28.95240382447154,29.34043492589516,0.3880311014236213,0.15056813567202867
1.3903042078018188,1.357412338256836,29.34043492589516,29.14641937518335,-0.19401555071181065,0.03764203391800717
1.357412338256836,1.3738583326339722,29.14641937518335,29.24342750212243,0.09700812693908034,0.009410576692228724
1.3738583326339722,1.406750202178955,29.24342750212243,29.43744305283424,0.19401555071181065,0.03764203391800717
1.406750202178955,1.4889799356460571,29.43744305283424,29.92248228119694,0.48503922836270164,0.23526305305068504
1.4889799356460571,1.439642071723938,29.92248228119694,29.63145860354605,-0.291023677650891,0.0846947809534497
1.439642071723938,1.4889799356460571,29.63145860354605,29.92248228119694,0.291023677650891,0.0846947809534497
1.4889799356460571,1.3903042078018188,29.92248228119694,29.34043492589516,-0.582047355301782,0.3387791238137988
1.3903042078018188,0.9298177361488342,29.34043492589516,26.624215458013943,-2.716219467881217,7.377848197696922
0.9298177361488342,1.1107231378555298,26.624215458013943,27.691301690095248,1.067086232081305,1.1386730266974767
1.1107231378555298,1.1929528713226318,27.691301690095248,28.17634091845795,0.48503922836270164,0.23526305305068504
1.1929528713226318,1.2587366104125977,28.17634091845795,28.564372019881567,0.38803110142361774,0.15056813567202593
1.2587366104125977,1.2587366104125977,28.564372019881567,28.564372019881567,0.0,0.0
1.2587366104125977,1.1107231378555298,28.564372019881567,27.691301690095248,-0.8730703297863194,0.7622518007531924
1.1107231378555298,1.242290735244751,27.691301690095248,28.46736459610884,0.7760629060135926,0.6022736340902622
1.242290735244751,1.324520468711853,28.46736459610884,28.95240382447154,0.4850392283626981,0.23526305305068157
1.324520468711853,1.472533941268921,28.95240382447154,29.825474154257858,0.8730703297863194,0.7622518007531924
