name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
barcelona,2014-01-01,14.4,3.1,9,14.4,0.5,7.6,4.6,74.7,0,0,0,,,,33.5,20.9,300.2,1016.7,50.5,22.3,93.4,8.1,4,,2014-01-01T08:17:32,2014-01-01T17:32:20,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-02,17.3,7.7,11.8,17.3,6.9,11.7,8.6,81.5,0,0,0,,,,50,12.1,288,1012.9,33.1,15.5,76.4,6.6,4,,2014-01-02T08:17:37,2014-01-02T17:33:12,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-03,17.9,10.9,13.4,17.9,10.9,13.4,10,80.6,0.009,100,8.33,rain,,,,18.9,312.9,1015.3,41.1,15.2,95,8,4,,2014-01-03T08:17:40,2014-01-03T17:34:05,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-04,15.5,10,12.1,15.5,8.3,12,9.8,86.9,0.986,100,16.67,rain,,,51.8,26.5,267.5,1010.5,46.1,10.8,77.1,6.6,4,,2014-01-04T08:17:41,2014-01-04T17:35:00,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-05,14.1,8.1,10.6,14.1,5.1,9.5,1.6,54.6,0.11,100,4.17,rain,,,57.2,29.2,295.5,1015.1,41.7,25.9,97.1,8.4,4,,2014-01-05T08:17:39,2014-01-05T17:35:56,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-06,16.5,8.9,12,16.5,6.9,11.4,7.1,72.3,0,0,0,,,,,21.7,291.8,1017.3,26.8,21.8,102.4,8.8,4,,2014-01-06T08:17:35,2014-01-06T17:36:54,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-07,16.6,6.7,11,16.6,4.9,10.5,8,82.5,0,0,0,,,,35.3,20.2,316.8,1020,33.1,15.5,103.7,8.9,4,,2014-01-07T08:17:29,2014-01-07T17:37:53,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-08,14.7,6.6,9.8,14.7,5.3,9.2,8.3,90.2,0,0,0,,,,,12.3,320.4,1023.7,54.9,8.8,92.4,8.1,4,,2014-01-08T08:17:20,2014-01-08T17:38:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-09,13,3.8,8.8,13,1.6,7.7,7,88.7,0,0,0,,,,,15.9,317.1,1021.6,45,7.6,94,8.2,4,,2014-01-09T08:17:09,2014-01-09T17:39:55,0.27,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-10,12.2,8.8,10.2,12.2,7,9.5,7.4,83.1,0,0,0,,,,,13.6,341.9,1019.4,69.2,6.5,72.8,6.3,3,,2014-01-10T08:16:56,2014-01-10T17:40:58,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-11,14,9.2,11.7,14,7.1,11.2,9,83.8,0,0,0,,,,33.5,16,11.9,1019.5,64.1,8.2,82.3,7.1,4,,2014-01-11T08:16:41,2014-01-11T17:42:02,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-12,15.4,10,12,15.4,9.8,12,10.3,89.7,0.68,100,8.33,rain,,,,12.1,311.6,1021.9,49.4,7.9,99.9,8.6,4,,2014-01-12T08:16:23,2014-01-12T17:43:07,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-13,13.7,8.1,11,13.7,7.2,10.7,8.4,84.4,3.131,100,16.67,rain,,,,17.7,300.3,1017.5,61.4,12.9,39.2,3.3,2,,2014-01-13T08:16:03,2014-01-13T17:44:13,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-14,13,5.6,9.1,13,3,8,4,70.8,0,0,0,,,,35.3,20.3,300.5,1011.8,31.2,20.8,67.7,5.9,3,,2014-01-14T08:15:40,2014-01-14T17:45:21,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-15,12.3,4.6,8.9,12.3,1.9,7.6,5.4,79.3,0,0,0,,,,38.9,20,305.4,1014.8,37.7,18,103.6,9,4,,2014-01-15T08:15:16,2014-01-15T17:46:29,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-16,14.1,8.6,11.3,14.1,6.8,10.9,9.7,90,0.097,100,4.17,rain,,,,18.3,267.1,1009.1,51.7,9.7,46.8,3.9,2,,2014-01-16T08:14:49,2014-01-16T17:47:38,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-17,14.7,7.1,10.7,14.7,6.2,10,5.8,73,0,0,0,,,,,18.2,286,1005.5,28.4,19.2,118.9,10.3,5,,2014-01-17T08:14:20,2014-01-17T17:48:48,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-18,14.6,5.9,10.1,14.6,2.7,8.8,8.1,87.7,1.457,100,12.5,rain,,,22.3,21.3,268.9,999.1,57.8,11.6,31.9,2.7,1,,2014-01-18T08:13:49,2014-01-18T17:49:58,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-19,13.1,8.6,10.5,13.1,6.9,9.9,8.4,87.6,9.234,100,33.33,rain,,,35.3,16.5,353.1,996.2,66.7,13.6,81.1,6.9,4,,2014-01-19T08:13:16,2014-01-19T17:51:09,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-20,13.1,6.9,9.3,13.1,3.8,7.9,3.1,66.4,0,0,0,,,,44.3,20.7,322.1,1006.4,39.7,19.1,111.9,9.8,5,,2014-01-20T08:12:40,2014-01-20T17:52:21,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-21,13.8,3.1,8.6,13.8,0.8,7.2,1,60.8,0,0,0,,,,35.3,19.1,317.1,1013.3,21.6,25.7,126.6,11.1,5,,2014-01-21T08:12:03,2014-01-21T17:53:34,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-22,8,3.5,6.4,6.9,0.1,4.1,3.8,83.5,2.833,100,12.5,rain,,,,19.9,341.9,1012,49.9,13.7,31.5,2.8,1,,2014-01-22T08:11:23,2014-01-22T17:54:47,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-23,13.3,5.6,8.5,13.3,3.1,7,5.4,82.1,0.103,100,4.17,rain,,,,16.6,327.9,1018.9,41.5,13.8,112.6,9.8,5,,2014-01-23T08:10:42,2014-01-23T17:56:01,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-24,15.5,6,11,15.5,3.4,10,5.5,69.8,0,0,0,,,,46.4,27.5,317.7,1016.7,30,20.7,80.6,6.9,3,,2014-01-24T08:09:58,2014-01-24T17:57:15,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-25,14.1,8.9,11.7,14.1,7.1,11.6,9.7,87.6,0,0,0,,,,,17.1,8.8,1016.4,53.4,13.7,95.9,8.1,4,,2014-01-25T08:09:12,2014-01-25T17:58:29,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-26,17.3,7.6,12.4,17.3,5.6,11.8,7.7,73.5,0,0,0,,,,,21.9,309,1016.9,35,23.6,106,9.1,5,,2014-01-26T08:08:25,2014-01-26T17:59:44,0.85,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-27,16.5,9.9,13.4,16.5,8.3,13.3,3.5,53.6,0.121,100,8.33,rain,,,64.8,41.8,298,1005.6,31.7,19.3,127.7,11,5,,2014-01-27T08:07:35,2014-01-27T18:00:59,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-28,11.9,5.9,9.3,11.9,3,7.8,0.7,55.4,0,0,0,,,,50,27,290.6,1002.9,30.3,20.1,119.6,10.3,5,,2014-01-28T08:06:44,2014-01-28T18:02:14,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-29,13.6,5,9.2,13.6,2.2,7.6,4,70.6,0.681,100,4.17,rain,,,48.2,26.9,321.4,997.3,44.2,20.4,109.7,9.5,4,,2014-01-29T08:05:50,2014-01-29T18:03:30,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-30,12.6,6.7,8.9,12.6,3.3,7.1,4.6,76.1,9.771,100,16.67,rain,,,38.9,27.3,320.5,1002.1,50.8,16.5,102.2,8.8,5,,2014-01-30T08:04:55,2014-01-30T18:04:45,0,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2014-01-31,12.2,3.2,7.9,12.2,0.2,6.3,3.8,76,0,0,0,,,,,15.3,345.8,1010,31.1,17.9,137.3,11.9,5,,2014-01-31T08:03:58,2014-01-31T18:06:01,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
