name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
barcelona,2015-01-01,12.1,3,7,12.1,-0.6,4.9,2,71.3,0,0,0,,0,0,27,20.2,315.1,1034.3,33.6,13.8,103.6,8.9,4,,2015-01-01T08:17:31,2015-01-01T17:32:08,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-02,15.5,1.6,7.9,15.5,-2.2,5.7,-0.3,57.9,0,0,0,,0,0,16.2,26.8,328,1035.7,29.3,19.1,104.3,9,4,,2015-01-02T08:17:36,2015-01-02T17:32:59,0.4,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-03,16.9,4.2,10.5,16.9,1.2,8.9,-0.5,47.5,0,0,0,,0,0,37.1,23.8,326.1,1033.4,22.4,20,105.4,9,4,,2015-01-03T08:17:40,2015-01-03T17:33:52,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-04,16.1,4.2,10.1,16.1,1,8.4,2.8,61.5,0,0,0,,0,0,48.2,24.7,335,1031.2,2.3,17.6,106.1,9.2,4,,2015-01-04T08:17:41,2015-01-04T17:34:47,0.47,Clear,Clear conditions throughout the day.,clear-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-05,15.5,3.2,8.9,15.5,-0.2,7.1,5.3,79.3,0,0,0,,0,0,16.6,23.4,324.8,1029.8,6.4,12.4,106.2,9.2,4,,2015-01-05T08:17:40,2015-01-05T17:35:43,0.5,Clear,Clear conditions throughout the day.,clear-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-06,13.6,3.6,8,13.6,0,5.7,4.5,79.8,0,0,0,,0,0,46.4,25.5,332.9,1025.9,32.5,11.6,68.6,5.8,3,,2015-01-06T08:17:37,2015-01-06T17:36:40,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-07,13.4,4.9,8.1,13.4,1.5,5.8,4.7,79.9,0,0,0,,0,0,20.5,23.8,338,1030.5,38,10.3,62.9,5.4,3,,2015-01-07T08:17:31,2015-01-07T17:37:39,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-08,12.3,2.2,7,12.3,-1.4,4.1,3.3,77.9,0,0,0,,0,0,48.2,28.2,331.7,1036.1,19.7,12.4,107.9,9.3,5,,2015-01-08T08:17:23,2015-01-08T17:38:39,0.61,Clear,Clear conditions throughout the day.,clear-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-09,14,2.7,7.7,14,-1.1,5,2.9,73,0,0,0,,0,0,46.4,27.9,326.3,1039.7,7.5,14.1,111.8,9.6,5,,2015-01-09T08:17:12,2015-01-09T17:39:40,0.64,Clear,Clear conditions throughout the day.,clear-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-10,18,6,11,18,3.6,9.7,5.8,71.3,0,0,0,,0,0,20.2,23.9,315.8,1031.8,0,15.6,108.6,9.4,5,,2015-01-10T08:17:00,2015-01-10T17:40:43,0.67,Clear,Clear conditions throughout the day.,clear-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-11,15.2,5.7,10.1,15.2,3.2,8.5,5.6,74,0,0,0,,0,0,44.6,22,330.4,1028.3,31.3,13.7,101.1,8.7,4,,2015-01-11T08:16:45,2015-01-11T17:41:47,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-12,16,3.4,9.7,16,-0.3,8,5.3,74.9,0,0,0,,0,0,28.4,25.8,299.1,1032.6,11.6,14.8,114.2,9.8,5,,2015-01-12T08:16:27,2015-01-12T17:42:52,0.74,Clear,Clear conditions throughout the day.,clear-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-13,16,7.6,11.4,16,6.2,11,8.3,81.5,0,0,0,,0,0,34.6,24.7,251.1,1025.7,39.3,11.5,99.7,8.6,4,,2015-01-13T08:16:08,2015-01-13T17:43:57,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-14,16.1,7.2,11.1,16.1,4.8,10.6,7,76.6,0,0,0,,0,0,21.6,13.9,314.8,1024.6,33.4,11.4,109.3,9.5,5,,2015-01-14T08:15:46,2015-01-14T17:45:04,0.8,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-15,15.9,5.8,10.5,15.9,4.9,10.2,7.5,82.6,0,0,0,,0,0,31,21.6,256.7,1018,25,9.8,110.5,9.6,5,,2015-01-15T08:15:22,2015-01-15T17:46:12,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-16,12.6,7.2,9.8,12.6,5.7,8.9,6.1,78.9,0.108,100,8.33,rain,0,0,33.5,19,294.9,1010.2,40.8,11.1,59.7,5,3,,2015-01-16T08:14:56,2015-01-16T17:47:21,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-17,11.8,2.8,7.7,11.8,0.1,5.9,2,67.9,0,0,0,,0,0,53.6,21.1,321.5,1019.4,28.4,18.1,114.3,10,5,,2015-01-17T08:14:27,2015-01-17T17:48:31,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-18,13.2,0.6,7.2,13.2,-3.1,5.2,1.9,71.4,1.945,100,4.17,rain,0,0,50,27.1,284.6,1016,39.5,15.2,107.4,9.2,4,,2015-01-18T08:13:57,2015-01-18T17:49:41,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-19,8,6,6.9,6.5,3,4.6,5.8,92.7,10.458,100,33.33,rain,0,0,42.5,16.2,345.4,1009.3,86.5,10.8,26.9,2.2,1,,2015-01-19T08:13:24,2015-01-19T17:50:52,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-20,9.6,5.5,7,7.4,2.2,4.2,3.5,78.5,0.097,100,4.17,rain,0,0,57.6,19.4,326.8,1008.9,59.2,16.2,60.4,5.4,2,,2015-01-20T08:12:49,2015-01-20T17:52:04,0,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2015-01-21,9.2,4.1,6.5,8.4,1.4,3.9,1.6,71.6,0,0,0,,0,0,18.4,17.6,322.4,1007.1,36.1,15.4,94.2,8,4,,2015-01-21T08:12:12,2015-01-21T17:53:16,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
